"StrategyName"	"UD_Effects"	"UD_Costs"	"D_Effects"	"D_Costs"	"ICER"
NA	-12396.1304599196	682696900	-1429.17248725527	64811164.2723518	NA
NA	-7497.78094056132	915041100	-888.935758869833	159324154.052043	NA
NA	-5499.11018272978	788503000	-846.409994819071	121962732.18838	NA
NA	-10460.1021372251	806106000	-1156.81500233551	98705561.1672024	NA
NA	-3747.73373804131	681976700	-768.822608379007	75874322.7818786	NA
NA	-18478.6541221862	551432700	-1654.69886551026	55635281.1816861	NA
NA	-11488.5949164784	786619000	-1154.14724102446	142013113.408529	NA
NA	-16681.3108013221	804150100	-1299.31025400374	114626737.397274	NA
NA	-20165.9297546574	673382400	-1611.52539296616	86983160.5057057	NA
NA	-8786.74628425902	545883000	-1021.28749915228	65757846.7737682	NA
NA	-24671.7806617431	560624700	-1926.18233888845	53577436.0779717	NA
NA	-28709.1953179109	800868500	-1931.05490617415	133373020.727099	NA
NA	-19257.4811605797	669288500	-1413.77178793015	102495139.520073	NA
NA	-19264.9637816544	534923400	-1665.80462088113	75831953.9879834	NA
NA	-20845.2563535733	553868700	-1511.85673336833	63126838.7246166	NA
NA	-23148.1936846678	418873300	-1883.04810019161	45116643.9422531	NA
NA	-31208.9363774491	661297900	-2208.00782287837	119829444.056481	NA
NA	-34284.7152007832	678990400	-1983.27843037856	97475881.2106272	NA
NA	-31508.7704839992	542269000	-2237.98926549949	72724123.9897101	NA
NA	-33582.616661324	560243400	-1971.6170280105	60643611.0324843	NA
NA	-31527.1626151951	423562500	-2237.2249115141	43899243.6812368	NA
NA	68722.5732183448	4906569100	2836.51302702636	865456548.085623	NA
NA	69031.1403753988	4311895100	2829.52617843468	651452480.283692	NA
NA	67828.6795731356	3718239600	2802.92928917776	484088959.532223	NA
NA	60991.7451565351	3123816200	2250.021081725	352234240.784415	NA
NA	38701.3157278369	2526992900	803.24183040917	247641281.930644	NA
NA	52821.8825514009	2567281400	1987.72875223632	454489234.371855	NA
NA	50339.577256916	2207972600	1931.30858111261	341428355.212127	NA
NA	52914.7944569933	1973179400	2011.80945682967	259134524.167656	NA
NA	44080.7680884523	1613029100	1460.37559037104	187838038.875827	NA
NA	27328.7154952498	1373941800	298.607857768657	136811599.399301	NA
NA	38102.5547578966	1740532500	1296.22993891324	314416436.32009	NA
NA	36690.8157019705	1498931600	1309.92489666303	237037091.586692	NA
NA	37589.904079516	1386685600	1207.48472818162	183246973.608325	NA
NA	33783.4795565998	1145531500	974.769552158119	134654747.420518	NA
NA	14875.3053770713	899618500	-198.661346270281	94328556.5113298	NA
NA	26091.4475449805	1388371900	650.148238136273	247426104.004232	NA
NA	23925.8281266553	1139531700	634.097351172619	184153878.853627	NA
NA	23292.2249144239	1024128000	550.618772382222	141066743.149655	NA
NA	21488.7485045801	908303300	400.046807630264	107549356.684733	NA
NA	6167.82704211585	789248800	-643.289246207642	80114549.7970141	NA
NA	10696.0168030028	1148562800	-139.781711007658	205211088.179668	NA
NA	10931.1479929371	1029555800	-111.747998002727	158099657.028528	NA
NA	10054.1493239952	910794000	-158.418425979849	121260834.360806	NA
NA	10863.3886863916	792236000	-114.929225553511	92448180.1013658	NA
NA	-2395.03218885988	669714300	-1015.95120265117	68358749.7424543	NA
NA	5688.40029143251	894862800	-292.1692594255	172118965.348591	NA
NA	5262.36507061127	771706000	-240.095758937328	130388207.051705	NA
NA	3337.20022388728	790568600	-473.068282797001	105571227.173152	NA
NA	3925.34255587868	668513700	-422.784411862711	79922003.6644977	NA
NA	-8408.62295284704	542184100	-1234.47277492013	57901685.2772613	NA
NA	-1365.38697034688	769834100	-616.304690594101	151382391.889135	NA
NA	-5046.49723181978	788480900	-820.561314007689	121963705.622185	NA
NA	-4583.74860776874	662151600	-915.591341513646	91953144.4872536	NA
NA	336.268282836478	537156600	-577.492906761079	68354827.8456559	NA
NA	-13422.5802889187	406664100	-1404.68506682913	47333693.7851192	NA
NA	-10782.2458094051	786512600	-1133.48350040342	142016244.272484	NA
NA	-7238.05517852004	657432100	-925.378305636594	107716272.058722	NA
